word	nodeType	synsetCount	unit	count
.	NOUN	0	shining-dialogue	4
15th	NOUN	1	shining-dialogue	2
30th	NOUN	1	shining-dialogue	2
?	NOUN	0	shining-dialogue	4
CONT'D	NOUN	0	shining-dialogue	10
DICK	NOUN	2	shining-dialogue	2
HALLORAN	NOUN	0	shining-dialogue	133
MAZE	NOUN	2	shining-dialogue	2
MURDER	NOUN	3	shining-dialogue	2
UP	NOUN	14	shining-dialogue	2
accident	NOUN	2	shining-dialogue	4
activity	NOUN	6	shining-dialogue	2
ad	NOUN	2	shining-dialogue	2
addict	NOUN	3	shining-dialogue	2
advocaat	NOUN	0	shining-dialogue	2
agreement	NOUN	6	shining-dialogue	2
air	NOUN	15	shining-dialogue	2
airport	NOUN	1	shining-dialogue	6
alcohol	NOUN	2	shining-dialogue	2
animal	NOUN	2	shining-dialogue	2
ankle	NOUN	1	shining-dialogue	8
apartment	NOUN	1	shining-dialogue	51
appeal	NOUN	9	shining-dialogue	2
appearance	NOUN	6	shining-dialogue	4
appointment	NOUN	6	shining-dialogue	2
apricot	NOUN	3	shining-dialogue	2
area	NOUN	6	shining-dialogue	4
arm	NOUN	8	shining-dialogue	48
arrival	NOUN	3	shining-dialogue	2
asshole	NOUN	2	shining-dialogue	2
assistance	NOUN	2	shining-dialogue	2
attack	NOUN	15	shining-dialogue	2
attraction	NOUN	5	shining-dialogue	2
auto	NOUN	1	shining-dialogue	2
average	NOUN	12	shining-dialogue	2
award	NOUN	5	shining-dialogue	2
axe	NOUN	3	shining-dialogue	54
babe	NOUN	2	shining-dialogue	2
baby	NOUN	8	shining-dialogue	2
back	NOUN	28	shining-dialogue	12
bacon	NOUN	3	shining-dialogue	4
bag	NOUN	14	shining-dialogue	8
ball	NOUN	13	shining-dialogue	8
balloon	NOUN	4	shining-dialogue	2
ballroom	NOUN	1	shining-dialogue	2
bank	NOUN	18	shining-dialogue	4
bar	NOUN	19	shining-dialogue	34
barn	NOUN	2	shining-dialogue	2
barrel	NOUN	6	shining-dialogue	2
bartender	NOUN	1	shining-dialogue	2
baseball	NOUN	2	shining-dialogue	4
basement	NOUN	2	shining-dialogue	2
basin	NOUN	5	shining-dialogue	14
basis	NOUN	3	shining-dialogue	2
bat	NOUN	10	shining-dialogue	68
bath	NOUN	7	shining-dialogue	18
bathroom	NOUN	2	shining-dialogue	20
beach	NOUN	2	shining-dialogue	2
beauty	NOUN	3	shining-dialogue	2
bed	NOUN	13	shining-dialogue	76
bedroom	NOUN	1	shining-dialogue	43
beer	NOUN	1	shining-dialogue	2
beg	NOUN	4	shining-dialogue	2
belly	NOUN	6	shining-dialogue	2
betta	NOUN	0	shining-dialogue	2
bit	NOUN	15	shining-dialogue	6
bitch	NOUN	6	shining-dialogue	6
bite	NOUN	13	shining-dialogue	2
blade	NOUN	9	shining-dialogue	2
blood	NOUN	6	shining-dialogue	22
bloodstain	NOUN	1	shining-dialogue	16
board	NOUN	13	shining-dialogue	2
body	NOUN	12	shining-dialogue	4
boiler	NOUN	2	shining-dialogue	6
book	NOUN	15	shining-dialogue	6
booth	NOUN	4	shining-dialogue	2
booze	NOUN	2	shining-dialogue	2
bottle	NOUN	5	shining-dialogue	16
bottom	NOUN	12	shining-dialogue	2
bounce	NOUN	10	shining-dialogue	2
bourbon	NOUN	4	shining-dialogue	2
box	NOUN	13	shining-dialogue	14
boy	NOUN	4	shining-dialogue	25
brain	NOUN	7	shining-dialogue	4
breadcrumb	NOUN	1	shining-dialogue	2
break	NOUN	75	shining-dialogue	2
breakdown	NOUN	4	shining-dialogue	2
breakfast	NOUN	3	shining-dialogue	6
bruise	NOUN	5	shining-dialogue	2
building	NOUN	14	shining-dialogue	3
bump	NOUN	8	shining-dialogue	2
burden	NOUN	6	shining-dialogue	4
burial	NOUN	2	shining-dialogue	2
business	NOUN	9	shining-dialogue	6
cab	NOUN	4	shining-dialogue	2
cabin	NOUN	4	shining-dialogue	2
cabinet	NOUN	4	shining-dialogue	10
call	NOUN	41	shining-dialogue	8
cam	NOUN	2	shining-dialogue	126
camera	NOUN	2	shining-dialogue	353
cannabilism	NOUN	0	shining-dialogue	4
cap	NOUN	11	shining-dialogue	4
car	NOUN	5	shining-dialogue	33
cardboard	NOUN	2	shining-dialogue	6
care	NOUN	11	shining-dialogue	10
caretaker	NOUN	2	shining-dialogue	12
carton	NOUN	2	shining-dialogue	2
cartoon	NOUN	3	shining-dialogue	4
case	NOUN	22	shining-dialogue	6
center	NOUN	23	shining-dialogue	2
cereal	NOUN	4	shining-dialogue	2
chain	NOUN	12	shining-dialogue	6
chair	NOUN	7	shining-dialogue	32
champagne	NOUN	2	shining-dialogue	2
chance	NOUN	9	shining-dialogue	10
change	NOUN	20	shining-dialogue	6
charge	NOUN	40	shining-dialogue	4
chest	NOUN	4	shining-dialogue	4
child	NOUN	4	shining-dialogue	4
chin	NOUN	3	shining-dialogue	6
cigarette	NOUN	1	shining-dialogue	10
click	NOUN	11	shining-dialogue	3
clipboard	NOUN	1	shining-dialogue	4
closing	NOUN	23	shining-dialogue	2
coffee	NOUN	4	shining-dialogue	10
color	NOUN	15	shining-dialogue	2
component	NOUN	3	shining-dialogue	4
concentration	NOUN	7	shining-dialogue	2
confidence	NOUN	5	shining-dialogue	2
construction	NOUN	7	shining-dialogue	2
cont'd	NOUN	0	shining-dialogue	6
contract	NOUN	12	shining-dialogue	2
conversation	NOUN	1	shining-dialogue	2
conviction	NOUN	2	shining-dialogue	2
cook	NOUN	7	shining-dialogue	2
coordination	NOUN	4	shining-dialogue	2
corner	NOUN	14	shining-dialogue	14
corridor	NOUN	1	shining-dialogue	77
cost	NOUN	5	shining-dialogue	2
costume	NOUN	6	shining-dialogue	2
cosy	NOUN	2	shining-dialogue	2
counter	NOUN	13	shining-dialogue	14
couple	NOUN	9	shining-dialogue	2
course	NOUN	13	shining-dialogue	2
cover	NOUN	36	shining-dialogue	4
cow	NOUN	4	shining-dialogue	2
cream	NOUN	8	shining-dialogue	10
credit	NOUN	13	shining-dialogue	4
curtain	NOUN	3	shining-dialogue	6
cut	NOUN	70	shining-dialogue	1
d.c.10	NOUN	0	shining-dialogue	4
daddy	NOUN	1	shining-dialogue	4
damage	NOUN	7	shining-dialogue	4
darling	NOUN	3	shining-dialogue	2
