word	nodeType	synsetCount	unit	count
-	VERB	0	shining-dialogue	2
BALLROOM	VERB	1	shining-dialogue	6
BEDROOM	VERB	1	shining-dialogue	3
GREEN	VERB	14	shining-dialogue	6
MAITRE	VERB	0	shining-dialogue	2
Put	VERB	10	shining-dialogue	2
accept	VERB	11	shining-dialogue	2
accommodate	VERB	7	shining-dialogue	2
accomplish	VERB	2	shining-dialogue	2
adjust	VERB	5	shining-dialogue	2
agree	VERB	7	shining-dialogue	4
answer	VERB	15	shining-dialogue	2
appear	VERB	7	shining-dialogue	16
appreciate	VERB	5	shining-dialogue	6
approach	VERB	14	shining-dialogue	4
arrive	VERB	2	shining-dialogue	2
ask	VERB	7	shining-dialogue	10
assist	VERB	5	shining-dialogue	2
assure	VERB	6	shining-dialogue	2
attempt	VERB	4	shining-dialogue	4
axe	VERB	3	shining-dialogue	14
back	VERB	28	shining-dialogue	26
bar	VERB	19	shining-dialogue	2
base	VERB	30	shining-dialogue	2
bash	VERB	3	shining-dialogue	4
be	VERB	14	shining-dialogue	32
behave	VERB	3	shining-dialogue	2
believe	VERB	5	shining-dialogue	22
bend	VERB	12	shining-dialogue	8
bet	VERB	5	shining-dialogue	4
block	VERB	28	shining-dialogue	4
blow	VERB	29	shining-dialogue	4
bolt	VERB	16	shining-dialogue	4
bomb	VERB	5	shining-dialogue	2
borrow	VERB	2	shining-dialogue	2
bowl	VERB	12	shining-dialogue	2
break	VERB	75	shining-dialogue	2
bring	VERB	11	shining-dialogue	16
brush	VERB	15	shining-dialogue	10
build	VERB	12	shining-dialogue	6
burn	VERB	20	shining-dialogue	4
bury	VERB	6	shining-dialogue	4
buy	VERB	6	shining-dialogue	2
call	VERB	41	shining-dialogue	58
cam	VERB	2	shining-dialogue	44
can	VERB	8	shining-dialogue	6
care	VERB	11	shining-dialogue	2
carry	VERB	41	shining-dialogue	26
catch	VERB	39	shining-dialogue	2
cause	VERB	7	shining-dialogue	4
change	VERB	20	shining-dialogue	2
chase	VERB	7	shining-dialogue	2
check	VERB	38	shining-dialogue	10
choose	VERB	3	shining-dialogue	2
chop	VERB	11	shining-dialogue	2
cigarette	VERB	1	shining-dialogue	2
clean	VERB	31	shining-dialogue	4
clear	VERB	45	shining-dialogue	6
click	VERB	11	shining-dialogue	2
climb	VERB	9	shining-dialogue	6
cling	VERB	4	shining-dialogue	4
close	VERB	37	shining-dialogue	26
coincide	VERB	3	shining-dialogue	2
collect	VERB	8	shining-dialogue	2
collide	VERB	3	shining-dialogue	2
come	VERB	22	shining-dialogue	96
complete	VERB	10	shining-dialogue	2
concern	VERB	7	shining-dialogue	4
consist	VERB	4	shining-dialogue	2
contain	VERB	6	shining-dialogue	2
continue	VERB	10	shining-dialogue	14
contract	VERB	12	shining-dialogue	2
cope	VERB	3	shining-dialogue	2
correct	VERB	12	shining-dialogue	4
counter	VERB	13	shining-dialogue	2
cover	VERB	36	shining-dialogue	34
crawl	VERB	8	shining-dialogue	4
create	VERB	6	shining-dialogue	2
cross	VERB	16	shining-dialogue	2
crouch	VERB	3	shining-dialogue	6
cry	VERB	12	shining-dialogue	6
cut	VERB	70	shining-dialogue	2
damage	VERB	7	shining-dialogue	2
dance	VERB	7	shining-dialogue	2
darken	VERB	3	shining-dialogue	2
deal	VERB	22	shining-dialogue	4
declare	VERB	8	shining-dialogue	4
dial	VERB	6	shining-dialogue	4
differ	VERB	2	shining-dialogue	2
direct	VERB	24	shining-dialogue	3
disappear	VERB	4	shining-dialogue	2
discover	VERB	8	shining-dialogue	2
discuss	VERB	4	shining-dialogue	6
dislocate	VERB	2	shining-dialogue	2
distract	VERB	2	shining-dialogue	2
do	VERB	16	shining-dialogue	154
door	VERB	5	shining-dialogue	6
doubt	VERB	4	shining-dialogue	2
drag	VERB	17	shining-dialogue	6
draw	VERB	45	shining-dialogue	7
dream	VERB	8	shining-dialogue	2
dress	VERB	21	shining-dialogue	8
drink	VERB	10	shining-dialogue	14
drive	VERB	34	shining-dialogue	18
drop	VERB	32	shining-dialogue	6
dry	VERB	19	shining-dialogue	14
ear	VERB	5	shining-dialogue	38
eat	VERB	6	shining-dialogue	16
edge	VERB	10	shining-dialogue	2
empty	VERB	10	shining-dialogue	2
end	VERB	18	shining-dialogue	2
entail	VERB	5	shining-dialogue	2
enter	VERB	9	shining-dialogue	40
entrance	VERB	5	shining-dialogue	6
examine	VERB	5	shining-dialogue	2
exit	VERB	6	shining-dialogue	26
expect	VERB	6	shining-dialogue	2
explain	VERB	3	shining-dialogue	6
face	VERB	22	shining-dialogue	6
fail	VERB	11	shining-dialogue	2
fall	VERB	44	shining-dialogue	12
fast	VERB	15	shining-dialogue	2
fear	VERB	8	shining-dialogue	4
feel	VERB	17	shining-dialogue	14
fill	VERB	11	shining-dialogue	10
find	VERB	18	shining-dialogue	10
finish	VERB	15	shining-dialogue	10
fix	VERB	17	shining-dialogue	2
flash	VERB	19	shining-dialogue	2
flick	VERB	12	shining-dialogue	4
fling	VERB	7	shining-dialogue	2
float	VERB	16	shining-dialogue	4
follow	VERB	24	shining-dialogue	22
foot	VERB	14	shining-dialogue	2
force	VERB	19	shining-dialogue	6
forget	VERB	4	shining-dialogue	4
freeze	VERB	14	shining-dialogue	4
fuck	VERB	2	shining-dialogue	4
get	VERB	37	shining-dialogue	138
give	VERB	45	shining-dialogue	38
go	VERB	35	shining-dialogue	182
grab	VERB	8	shining-dialogue	8
grip	VERB	10	shining-dialogue	2
groan	VERB	2	shining-dialogue	16
grunt	VERB	4	shining-dialogue	2
guess	VERB	6	shining-dialogue	20
gush	VERB	5	shining-dialogue	8
halloran/	VERB	0	shining-dialogue	2
hand	VERB	16	shining-dialogue	4
handle	VERB	7	shining-dialogue	8
happen	VERB	5	shining-dialogue	38
hate	VERB	2	shining-dialogue	2
have	VERB	20	shining-dialogue	136
head	VERB	42	shining-dialogue	2
hear	VERB	5	shining-dialogue	20
help	VERB	12	shining-dialogue	4
hide	VERB	6	shining-dialogue	4
hire	VERB	5	shining-dialogue	2
hit	VERB	24	shining-dialogue	6
hold	VERB	45	shining-dialogue	120
hope	VERB	9	shining-dialogue	4
huff	VERB	3	shining-dialogue	2
hurt	VERB	14	shining-dialogue	22
imagine	VERB	2	shining-dialogue	2
improve	VERB	2	shining-dialogue	2
induce	VERB	5	shining-dialogue	2
inhale	VERB	2	shining-dialogue	2
injure	VERB	3	shining-dialogue	7
intend	VERB	4	shining-dialogue	2
interfere	VERB	2	shining-dialogue	2
interrupt	VERB	5	shining-dialogue	2
intrigue	VERB	4	shining-dialogue	2
introduce	VERB	10	shining-dialogue	2
join	VERB	7	shining-dialogue	4
jump	VERB	21	shining-dialogue	2
keep	VERB	25	shining-dialogue	24
kick	VERB	14	shining-dialogue	4
kill	VERB	17	shining-dialogue	8
kiss	VERB	6	shining-dialogue	14
kneel	VERB	2	shining-dialogue	10
knock	VERB	11	shining-dialogue	2
know	VERB	12	shining-dialogue	76
land	VERB	18	shining-dialogue	8
laugh	VERB	4	shining-dialogue	74
lay	VERB	16	shining-dialogue	4
lead	VERB	31	shining-dialogue	13
lean	VERB	10	shining-dialogue	40
leave	VERB	17	shining-dialogue	24
let	VERB	8	shining-dialogue	40
lie	VERB	10	shining-dialogue	40
lift	VERB	36	shining-dialogue	10
light	VERB	47	shining-dialogue	6
like	VERB	11	shining-dialogue	36
limp	VERB	5	shining-dialogue	32
lipstick	VERB	3	shining-dialogue	2
listen	VERB	3	shining-dialogue	8
live	VERB	19	shining-dialogue	14
locate	VERB	4	shining-dialogue	2
lock	VERB	15	shining-dialogue	6
look	VERB	14	shining-dialogue	204
lose	VERB	11	shining-dialogue	4
love	VERB	10	shining-dialogue	14
lower	VERB	16	shining-dialogue	16
make	VERB	51	shining-dialogue	41
manage	VERB	7	shining-dialogue	4
matter	VERB	7	shining-dialogue	4
mean	VERB	16	shining-dialogue	20
meet	VERB	15	shining-dialogue	18
mind	VERB	13	shining-dialogue	14
miss	VERB	12	shining-dialogue	6
mop	VERB	3	shining-dialogue	2
move	VERB	21	shining-dialogue	256
mutter	VERB	4	shining-dialogue	2
name	VERB	15	shining-dialogue	2
near	VERB	9	shining-dialogue	2
need	VERB	7	shining-dialogue	10
nod	VERB	7	shining-dialogue	2
note	VERB	13	shining-dialogue	2
notice	VERB	11	shining-dialogue	4
occur	VERB	3	shining-dialogue	16
ooze	VERB	4	shining-dialogue	2
open	VERB	36	shining-dialogue	52
operate	VERB	7	shining-dialogue	2
outline	VERB	6	shining-dialogue	2
outlye	VERB	0	shining-dialogue	2
oven	VERB	1	shining-dialogue	2
overturn	VERB	8	shining-dialogue	2
park	VERB	8	shining-dialogue	4
pass	VERB	43	shining-dialogue	6
pat	VERB	7	shining-dialogue	4
pause	VERB	4	shining-dialogue	2
pedal	VERB	5	shining-dialogue	6
peer	VERB	3	shining-dialogue	2
phone	VERB	4	shining-dialogue	2
pick	VERB	21	shining-dialogue	28
pierce	VERB	6	shining-dialogue	2
place	VERB	32	shining-dialogue	2
play	VERB	52	shining-dialogue	17
plug	VERB	13	shining-dialogue	2
point	VERB	40	shining-dialogue	24
pour	VERB	6	shining-dialogue	2
predict	VERB	2	shining-dialogue	4
prepare	VERB	8	shining-dialogue	4
prevent	VERB	2	shining-dialogue	2
promise	VERB	6	shining-dialogue	4
prove	VERB	9	shining-dialogue	2
puff	VERB	17	shining-dialogue	2
pull	VERB	24	shining-dialogue	26
push	VERB	15	shining-dialogue	8
put	VERB	10	shining-dialogue	112
raise	VERB	31	shining-dialogue	6
rap	VERB	10	shining-dialogue	2
raps	VERB	10	shining-dialogue	2
rattle	VERB	5	shining-dialogue	2
re	VERB	3	shining-dialogue	2
reach	VERB	13	shining-dialogue	18
react	VERB	3	shining-dialogue	22
read	VERB	12	shining-dialogue	10
receive	VERB	13	shining-dialogue	6
recognize	VERB	9	shining-dialogue	2
recommend	VERB	3	shining-dialogue	2
reduce	VERB	20	shining-dialogue	2
reflect	VERB	7	shining-dialogue	10
refurbish	VERB	1	shining-dialogue	2
remember	VERB	8	shining-dialogue	20
remove	VERB	9	shining-dialogue	4
rent	VERB	9	shining-dialogue	2
repair	VERB	8	shining-dialogue	4
repay	VERB	4	shining-dialogue	2
repel	VERB	5	shining-dialogue	2
replace	VERB	4	shining-dialogue	2
resort	VERB	6	shining-dialogue	2
rest	VERB	18	shining-dialogue	6
reveal	VERB	3	shining-dialogue	26
ring	VERB	15	shining-dialogue	2
rinse	VERB	7	shining-dialogue	2
rise	VERB	27	shining-dialogue	6
roll	VERB	33	shining-dialogue	2
rotate	VERB	6	shining-dialogue	2
round	VERB	25	shining-dialogue	4
rub	VERB	5	shining-dialogue	4
rule	VERB	19	shining-dialogue	2
run	VERB	57	shining-dialogue	92
say	VERB	12	shining-dialogue	40
scare	VERB	4	shining-dialogue	2
scatter	VERB	8	shining-dialogue	2
scrawl	VERB	2	shining-dialogue	2
scream	VERB	6	shining-dialogue	8
search	VERB	9	shining-dialogue	2
seat	VERB	16	shining-dialogue	38
see	VERB	25	shining-dialogue	64
seem	VERB	4	shining-dialogue	12
serve	VERB	16	shining-dialogue	4
set	VERB	45	shining-dialogue	4
settle	VERB	23	shining-dialogue	2
shake	VERB	15	shining-dialogue	32
shin	VERB	5	shining-dialogue	4
shine	VERB	11	shining-dialogue	2
shoot	VERB	22	shining-dialogue	8
shout	VERB	5	shining-dialogue	2
show	VERB	16	shining-dialogue	10
shriek	VERB	3	shining-dialogue	2
shut	VERB	5	shining-dialogue	8
sigh	VERB	4	shining-dialogue	2
sign	VERB	20	shining-dialogue	2
sink	VERB	13	shining-dialogue	4
sit	VERB	10	shining-dialogue	122
slash	VERB	9	shining-dialogue	2
sleep	VERB	6	shining-dialogue	2
slide	VERB	10	shining-dialogue	6
slip	VERB	26	shining-dialogue	2
slow	VERB	11	shining-dialogue	4
slump	VERB	6	shining-dialogue	2
smash	VERB	16	shining-dialogue	2
smell	VERB	10	shining-dialogue	2
smile	VERB	3	shining-dialogue	16
smooth	VERB	12	shining-dialogue	2
snow	VERB	6	shining-dialogue	4
snowbound	VERB	1	shining-dialogue	2
soak	VERB	11	shining-dialogue	2
sob	VERB	4	shining-dialogue	4
sofa	VERB	1	shining-dialogue	2
somersault	VERB	2	shining-dialogue	2
sound	VERB	24	shining-dialogue	6
spare	VERB	13	shining-dialogue	2
speak	VERB	5	shining-dialogue	22
splinter	VERB	4	shining-dialogue	2
sponge	VERB	9	shining-dialogue	14
spread	VERB	23	shining-dialogue	2
stack	VERB	8	shining-dialogue	4
stagger	VERB	5	shining-dialogue	10
stain	VERB	9	shining-dialogue	2
stamp	VERB	18	shining-dialogue	2
stand	VERB	24	shining-dialogue	72
start	VERB	22	shining-dialogue	36
stay	VERB	16	shining-dialogue	44
steal	VERB	5	shining-dialogue	2
step	VERB	21	shining-dialogue	10
stick	VERB	25	shining-dialogue	2
stir	VERB	11	shining-dialogue	6
stop	VERB	22	shining-dialogue	74
straighten	VERB	6	shining-dialogue	4
strand	VERB	9	shining-dialogue	2
strangle	VERB	6	shining-dialogue	4
strew	VERB	2	shining-dialogue	2
strike	VERB	27	shining-dialogue	2
stroke	VERB	16	shining-dialogue	10
struggle	VERB	7	shining-dialogue	6
stumble	VERB	6	shining-dialogue	4
suck	VERB	8	shining-dialogue	2
suffer	VERB	11	shining-dialogue	2
suggest	VERB	5	shining-dialogue	2
superimpose	VERB	1	shining-dialogue	2
suppose	VERB	5	shining-dialogue	16
surge	VERB	8	shining-dialogue	12
survive	VERB	4	shining-dialogue	2
swear	VERB	5	shining-dialogue	2
sweep	VERB	15	shining-dialogue	4
swelter	VERB	2	shining-dialogue	2
swing	VERB	22	shining-dialogue	24
switch	VERB	14	shining-dialogue	8
table	VERB	8	shining-dialogue	2
take	VERB	44	shining-dialogue	70
talk	VERB	11	shining-dialogue	28
tap	VERB	20	shining-dialogue	4
teach	VERB	3	shining-dialogue	2
tear	VERB	9	shining-dialogue	2
telephone	VERB	3	shining-dialogue	2
tell	VERB	9	shining-dialogue	36
tend	VERB	3	shining-dialogue	2
thank	VERB	1	shining-dialogue	22
think	VERB	14	shining-dialogue	78
throw	VERB	20	shining-dialogue	22
tilt	VERB	9	shining-dialogue	19
touch	VERB	27	shining-dialogue	8
track	VERB	16	shining-dialogue	6
travel	VERB	9	shining-dialogue	2
tremble	VERB	2	shining-dialogue	2
try	VERB	10	shining-dialogue	34
tuck	VERB	7	shining-dialogue	2
tug	VERB	9	shining-dialogue	6
turn	VERB	38	shining-dialogue	114
type	VERB	8	shining-dialogue	6
understand	VERB	5	shining-dialogue	10
unlock	VERB	3	shining-dialogue	2
unscrew	VERB	2	shining-dialogue	2
use	VERB	13	shining-dialogue	8
wait	VERB	6	shining-dialogue	12
wake	VERB	9	shining-dialogue	20
walk	VERB	17	shining-dialogue	156
want	VERB	9	shining-dialogue	42
watch	VERB	13	shining-dialogue	14
wave	VERB	14	shining-dialogue	2
weep	VERB	1	shining-dialogue	10
wendy	VERB	0	shining-dialogue	2
wiggle	VERB	2	shining-dialogue	16
win	VERB	6	shining-dialogue	4
wipe	VERB	2	shining-dialogue	2
wish	VERB	10	shining-dialogue	2
withdraw	VERB	12	shining-dialogue	2
wonder	VERB	6	shining-dialogue	2
work	VERB	34	shining-dialogue	12
worry	VERB	8	shining-dialogue	6
write	VERB	10	shining-dialogue	18
yawn	VERB	3	shining-dialogue	2
yell	VERB	4	shining-dialogue	6
zoom	VERB	5	shining-dialogue	10
-	VERB	0	jacobs-ladder-script	1
APPLAUSE	VERB	1	jacobs-ladder-script	1
Let	VERB	8	jacobs-ladder-script	1
ROOM	VERB	5	jacobs-ladder-script	1
Shut	VERB	5	jacobs-ladder-script	1
absorb	VERB	9	jacobs-ladder-script	1
abuse	VERB	7	jacobs-ladder-script	1
accelerate	VERB	2	jacobs-ladder-script	1
accept	VERB	11	jacobs-ladder-script	1
accompany	VERB	4	jacobs-ladder-script	4
accord	VERB	6	jacobs-ladder-script	2
acknowledge	VERB	6	jacobs-ladder-script	1
act	VERB	15	jacobs-ladder-script	3
adjust	VERB	5	jacobs-ladder-script	5
admire	VERB	2	jacobs-ladder-script	2
admit	VERB	8	jacobs-ladder-script	2
age	VERB	8	jacobs-ladder-script	1
agree	VERB	7	jacobs-ladder-script	3
aim	VERB	11	jacobs-ladder-script	3
alert	VERB	7	jacobs-ladder-script	1
allege	VERB	1	jacobs-ladder-script	2
almighty	VERB	2	jacobs-ladder-script	3
alter	VERB	5	jacobs-ladder-script	2
amass	VERB	2	jacobs-ladder-script	1
amble	VERB	2	jacobs-ladder-script	1
animate	VERB	7	jacobs-ladder-script	1
annihilate	VERB	1	jacobs-ladder-script	1
answer	VERB	15	jacobs-ladder-script	8
appear	VERB	7	jacobs-ladder-script	30
approach	VERB	14	jacobs-ladder-script	17
argue	VERB	3	jacobs-ladder-script	1
arise	VERB	7	jacobs-ladder-script	1
arrange	VERB	7	jacobs-ladder-script	1
arrest	VERB	6	jacobs-ladder-script	1
arrive	VERB	2	jacobs-ladder-script	3
ask	VERB	7	jacobs-ladder-script	12
assail	VERB	3	jacobs-ladder-script	1
assemble	VERB	3	jacobs-ladder-script	1
assist	VERB	5	jacobs-ladder-script	1
atomize	VERB	3	jacobs-ladder-script	1
attach	VERB	5	jacobs-ladder-script	2
attack	VERB	15	jacobs-ladder-script	2
attempt	VERB	4	jacobs-ladder-script	1
attract	VERB	3	jacobs-ladder-script	1
avert	VERB	2	jacobs-ladder-script	1
avoid	VERB	5	jacobs-ladder-script	2
award	VERB	5	jacobs-ladder-script	1
awe	VERB	3	jacobs-ladder-script	1
back	VERB	28	jacobs-ladder-script	13
backlight	VERB	0	jacobs-ladder-script	1
bag	VERB	14	jacobs-ladder-script	1
bang	VERB	12	jacobs-ladder-script	2
bar	VERB	19	jacobs-ladder-script	1
bash	VERB	3	jacobs-ladder-script	1
bask	VERB	2	jacobs-ladder-script	2
bath	VERB	7	jacobs-ladder-script	2
battle	VERB	4	jacobs-ladder-script	1
be	VERB	14	jacobs-ladder-script	67
be-	VERB	0	jacobs-ladder-script	1
bear	VERB	15	jacobs-ladder-script	6
become	VERB	4	jacobs-ladder-script	12
beg	VERB	4	jacobs-ladder-script	2
begin	VERB	11	jacobs-ladder-script	59
belch	VERB	3	jacobs-ladder-script	1
believe	VERB	5	jacobs-ladder-script	20
belong	VERB	6	jacobs-ladder-script	1
bend	VERB	12	jacobs-ladder-script	3
bet	VERB	5	jacobs-ladder-script	1
bite	VERB	13	jacobs-ladder-script	3
blame	VERB	6	jacobs-ladder-script	3
blare	VERB	3	jacobs-ladder-script	3
blast	VERB	16	jacobs-ladder-script	1
blaze	VERB	10	jacobs-ladder-script	2
blind	VERB	10	jacobs-ladder-script	5
blink	VERB	4	jacobs-ladder-script	1
block	VERB	28	jacobs-ladder-script	1
bloodsoake	VERB	0	jacobs-ladder-script	1
blow	VERB	29	jacobs-ladder-script	12
blur	VERB	7	jacobs-ladder-script	2
boil	VERB	7	jacobs-ladder-script	1
bother	VERB	8	jacobs-ladder-script	2
bounce	VERB	10	jacobs-ladder-script	1
brandish	VERB	3	jacobs-ladder-script	1
break	VERB	75	jacobs-ladder-script	12
breathe	VERB	9	jacobs-ladder-script	1
breed	VERB	6	jacobs-ladder-script	1
brighten	VERB	2	jacobs-ladder-script	1
bring	VERB	11	jacobs-ladder-script	5
brood	VERB	6	jacobs-ladder-script	1
bruise	VERB	5	jacobs-ladder-script	1
bug	VERB	7	jacobs-ladder-script	3
build	VERB	12	jacobs-ladder-script	4
burn	VERB	20	jacobs-ladder-script	16
burst	VERB	12	jacobs-ladder-script	4
bury	VERB	6	jacobs-ladder-script	2
bustle	VERB	3	jacobs-ladder-script	1
butter	VERB	3	jacobs-ladder-script	1
buy	VERB	6	jacobs-ladder-script	1
call	VERB	41	jacobs-ladder-script	32
calm	VERB	8	jacobs-ladder-script	4
care	VERB	11	jacobs-ladder-script	1
careen	VERB	3	jacobs-ladder-script	2
