word	nodeType	synsetCount	unit	count
-	VERB	0	shining-dialogue	2
.	NOUN	0	shining-dialogue	4
15th	NOUN	1	shining-dialogue	2
30th	NOUN	1	shining-dialogue	2
?	NOUN	0	shining-dialogue	4
BALLROOM	VERB	1	shining-dialogue	6
BEDROOM	VERB	1	shining-dialogue	3
CONT'D	NOUN	0	shining-dialogue	10
DICK	NOUN	2	shining-dialogue	2
GREEN	VERB	14	shining-dialogue	6
HALLORAN	NOUN	0	shining-dialogue	133
MAITRE	VERB	0	shining-dialogue	2
MAZE	NOUN	2	shining-dialogue	2
MORE	ADJ	5	shining-dialogue	2
MURDER	NOUN	3	shining-dialogue	2
Most	ADJ	5	shining-dialogue	2
Put	VERB	10	shining-dialogue	2
UP	NOUN	14	shining-dialogue	2
able	ADJ	4	shining-dialogue	4
about	ADJ	8	shining-dialogue	2
accept	VERB	11	shining-dialogue	2
accident	NOUN	2	shining-dialogue	4
accommodate	VERB	7	shining-dialogue	2
accomplish	VERB	2	shining-dialogue	2
activity	NOUN	6	shining-dialogue	2
ad	NOUN	2	shining-dialogue	2
addict	NOUN	3	shining-dialogue	2
adjust	VERB	5	shining-dialogue	2
advisory	ADJ	2	shining-dialogue	2
advocaat	ADJ	0	shining-dialogue	4
advocaat	NOUN	0	shining-dialogue	2
afraid	ADJ	4	shining-dialogue	8
agree	VERB	7	shining-dialogue	4
agreement	NOUN	6	shining-dialogue	2
air	NOUN	15	shining-dialogue	2
airport	NOUN	1	shining-dialogue	6
akin	ADJ	2	shining-dialogue	2
alcohol	NOUN	2	shining-dialogue	2
alive	ADJ	7	shining-dialogue	2
amazing	ADJ	4	shining-dialogue	4
american	ADJ	5	shining-dialogue	2
animal	NOUN	2	shining-dialogue	2
ankle	NOUN	1	shining-dialogue	8
answer	VERB	15	shining-dialogue	2
apartment	NOUN	1	shining-dialogue	51
appeal	NOUN	9	shining-dialogue	2
appear	VERB	7	shining-dialogue	16
appearance	NOUN	6	shining-dialogue	4
appointment	NOUN	6	shining-dialogue	2
appreciate	VERB	5	shining-dialogue	6
approach	VERB	14	shining-dialogue	4
apricot	NOUN	3	shining-dialogue	2
area	NOUN	6	shining-dialogue	4
arm	NOUN	8	shining-dialogue	48
arrival	NOUN	3	shining-dialogue	2
arrive	VERB	2	shining-dialogue	2
ask	VERB	7	shining-dialogue	10
asleep	ADJ	5	shining-dialogue	18
asshole	NOUN	2	shining-dialogue	2
assist	VERB	5	shining-dialogue	2
assistance	NOUN	2	shining-dialogue	2
assure	VERB	6	shining-dialogue	2
attack	NOUN	15	shining-dialogue	2
attempt	VERB	4	shining-dialogue	4
attraction	NOUN	5	shining-dialogue	2
authentic	ADJ	2	shining-dialogue	2
auto	NOUN	1	shining-dialogue	2
average	NOUN	12	shining-dialogue	2
award	NOUN	5	shining-dialogue	2
aware	ADJ	2	shining-dialogue	2
awful	ADJ	7	shining-dialogue	4
axe	NOUN	3	shining-dialogue	54
axe	VERB	3	shining-dialogue	14
babe	NOUN	2	shining-dialogue	2
baby	NOUN	8	shining-dialogue	2
back	NOUN	28	shining-dialogue	12
back	VERB	28	shining-dialogue	26
bacon	NOUN	3	shining-dialogue	4
bad	ADJ	17	shining-dialogue	16
bag	NOUN	14	shining-dialogue	8
ball	NOUN	13	shining-dialogue	8
balloon	NOUN	4	shining-dialogue	2
ballroom	NOUN	1	shining-dialogue	2
bank	NOUN	18	shining-dialogue	4
bar	NOUN	19	shining-dialogue	34
bar	VERB	19	shining-dialogue	2
bare	ADJ	13	shining-dialogue	2
barn	NOUN	2	shining-dialogue	2
barrel	NOUN	6	shining-dialogue	2
bartender	NOUN	1	shining-dialogue	2
base	VERB	30	shining-dialogue	2
baseball	NOUN	2	shining-dialogue	4
basement	NOUN	2	shining-dialogue	2
bash	VERB	3	shining-dialogue	4
basic	ADJ	6	shining-dialogue	2
basin	NOUN	5	shining-dialogue	14
basis	NOUN	3	shining-dialogue	2
bat	NOUN	10	shining-dialogue	68
bath	NOUN	7	shining-dialogue	18
bathroom	NOUN	2	shining-dialogue	20
be	VERB	14	shining-dialogue	32
beach	NOUN	2	shining-dialogue	2
beautiful	ADJ	2	shining-dialogue	12
beauty	NOUN	3	shining-dialogue	2
bed	NOUN	13	shining-dialogue	76
bedroom	NOUN	1	shining-dialogue	43
beer	NOUN	1	shining-dialogue	2
beg	NOUN	4	shining-dialogue	2
behave	VERB	3	shining-dialogue	2
believe	VERB	5	shining-dialogue	22
belly	NOUN	6	shining-dialogue	2
bend	VERB	12	shining-dialogue	8
bet	VERB	5	shining-dialogue	4
betta	NOUN	0	shining-dialogue	2
big	ADJ	17	shining-dialogue	16
bit	NOUN	15	shining-dialogue	6
bitch	NOUN	6	shining-dialogue	6
bite	NOUN	13	shining-dialogue	2
black	ADJ	22	shining-dialogue	4
blade	ADJ	9	shining-dialogue	2
blade	NOUN	9	shining-dialogue	2
block	VERB	28	shining-dialogue	4
blood	NOUN	6	shining-dialogue	22
bloodstain	NOUN	1	shining-dialogue	16
bloodstained	ADJ	1	shining-dialogue	8
blow	VERB	29	shining-dialogue	4
board	NOUN	13	shining-dialogue	2
body	NOUN	12	shining-dialogue	4
boiler	NOUN	2	shining-dialogue	6
bold	ADJ	4	shining-dialogue	2
bolt	VERB	16	shining-dialogue	4
bomb	VERB	5	shining-dialogue	2
book	NOUN	15	shining-dialogue	6
booth	NOUN	4	shining-dialogue	2
booze	NOUN	2	shining-dialogue	2
borrow	VERB	2	shining-dialogue	2
bottle	NOUN	5	shining-dialogue	16
bottom	ADJ	12	shining-dialogue	4
bottom	NOUN	12	shining-dialogue	2
bounce	NOUN	10	shining-dialogue	2
bourbon	NOUN	4	shining-dialogue	2
bowl	VERB	12	shining-dialogue	2
box	NOUN	13	shining-dialogue	14
boy	NOUN	4	shining-dialogue	25
brain	NOUN	7	shining-dialogue	4
breadcrumb	NOUN	1	shining-dialogue	2
break	NOUN	75	shining-dialogue	2
break	VERB	75	shining-dialogue	2
breakdown	NOUN	4	shining-dialogue	2
breakfast	NOUN	3	shining-dialogue	6
